bioguide,icpsr,last,first,state,party,chamber
D000594,,de la cruz,monica,TX,R,House
C001130,,crockett,jasmine,TX,D,House
C001131,,casar,gregorio,TX,D,House
H001095,,hunt,wesley,TX,R,House
K000399,,kiggans,jennifer,VA,R,House
B001318,,balint,becca,VT,D,House
G000600,,gluesenkamp perez,marie,WA,D,House
V000135,,van orden,derrick,WI,R,House
H001096,,hageman,harriet,WY,R,House
R000618,,ricketts,pete,NE,R,Senate
M001227,,mcclellan,jennifer,VA,D,House
A000380,,amo,gabe,RI,D,House
M001228,,maloy,celeste,UT,R,House
S001201,21747,suozzi,thomas,NY,D,House
K000402,,kennedy,timothy,NY,D,House
F000480,,fong,vince,CA,R,House
R000619,,rulli,michael,OH,R,House
M001229,,mciver,lamonica,NJ,D,House
W000829,,wied,tony,WI,R,House
F000110,29354,fields,cleo,LA,D,House
S001188,21100,stutzman,marlin,IN,R,House
C001123,21907,cisneros,gilbert,CA,D,House
A000382,,alsobrooks,angela,MD,D,Senate
S001232,,sheehy,tim,MT,R,Senate
M001242,,moreno,bernie,OH,R,Senate
M001243,,mccormick,dave,PA,R,Senate
B001323,,begich,nicholas,AK,R,House
F000481,,figures,shomari,AL,D,House
A000381,,ansari,yassamin,AZ,D,House
H001098,,hamadeh,abraham,AZ,R,House
S001231,,simon,lateefah,CA,D,House
G000605,,gray,adam,CA,D,House
L000607,,liccardo,sam,CA,D,House
W000830,,whitesides,george,CA,D,House
R000620,,rivas,luz,CA,D,House
F000483,,friedman,laura,CA,D,House
T000491,,tran,derek,CA,D,House
M001241,,min,dave,CA,D,House
H001100,,hurd,jeff,CO,R,House
C001137,,crank,jeff,CO,R,House
E000300,,evans,gabe,CO,R,House
M001238,,mcbride,sarah,DE,D,House
H001099,,haridopolos,mike,FL,R,House
J000311,,jack,brian,GA,R,House
S001229,,shreve,jefferson,IN,R,House
M001233,,messmer,mark,IN,R,House
S001228,,schmidt,derek,KS,R,House
O000176,,olszewski,johnny,MD,D,House
E000301,,elfreth,sarah,MD,D,House
M001232,,mcclain delaney,april,MD,D,House
B001321,,barrett,tom,MI,R,House
M001237,,mcdonald rivet,kristen,MI,D,House
M001234,,morrison,kelly,MN,D,House
B001324,,bell,wesley,MO,D,House
O000177,,onder,robert,MO,R,House
K000404,,king-hinds,kimberlyn,MP,R,House
D000634,,downing,troy,MT,R,House
M001240,,mcdowell,addison,NC,R,House
H001102,,harris,mark,NC,R,House
H001101,,harrigan,pat,NC,R,House
K000405,,knott,brad,NC,R,House
M001236,,moore,tim,NC,R,House
F000482,,fedorchak,julie,ND,R,House
G000604,,goodlander,maggie,NH,D,House
C001136,,conaway,herbert,NJ,D,House
P000621,,pou,nellie,NJ,D,House
G000602,,gillen,laura,NY,D,House
L000606,,latimer,george,NY,D,House
R000622,,riley,josh,NY,D,House
M001231,,mannion,john,NY,D,House
T000490,,taylor,david,OH,R,House
D000635,,dexter,maxine,OR,D,House
B001326,,bynum,janelle,OR,D,House
M001230,,mackenzie,ryan,PA,R,House
B001327,,bresnahan,robert,PA,R,House
H001103,,hernandez rivera,pablo jose,PR,D,House
B001325,,biggs,sheri,SC,R,House
G000601,,goldman,craig,TX,R,House
G000603,,gill,brandon,TX,R,House
J000310,,johnson,julie,TX,D,House
K000403,,kennedy,mike,UT,R,House
M001239,,mcguire,john,VA,R,House
V000138,,vindman,eugene,VA,D,House
S001230,,subramanyam,suhas,VA,D,House
B001322,,baumgartner,michael,WA,R,House
R000621,,randall,emily,WA,D,House
M001235,,moore,riley,WV,R,House
J000312,,justice,jim,WV,R,Senate
H001104,,husted,jon,OH,R,Senate
M001244,,moody,ashley,FL,R,Senate
P000622,,patronis,jimmy,FL,R,House
F000484,,fine,randall,FL,R,House
W000831,,walkinshaw,james,VA,D,House
G000606,,grijalva,adelita,AZ,D,House
V000139,,van epps,matt,TN,R,House
M001245,,menefee,christian,TX,D,House
A000383,,armstrong,alan,OK,R,Senate
F000485,,fuller,clay,GA,R,House
M001246,,mejia,analilia,NJ,D,House
G000607,,gallagher,james,CA,R,House
B000226,507,bassett,richard,DE,O,Senate
B000546,786,bland,theodorick,VA,O,House
B001086,1260,burke,aedanus,SC,O,House
C000187,1538,carroll,daniel,MD,O,House
C000538,1859,clymer,george,PA,O,House
C000710,2010,contee,benjamin,MD,O,House
D000013,2307,dalton,tristram,MA,O,Senate
E000155,2943,elmer,jonathan,NJ,O,Senate
F000100,3128,few,william,GA,O,Senate
F000224,3237,floyd,william,NY,O,House
G000012,3430,gale,george,MD,O,House
G000403,3771,grayson,william,VA,O,Senate
G000500,3857,grout,jonathan,MA,O,House
H000368,4212,hawkins,benjamin,NC,O,Senate
H000995,4766,huntington,benjamin,CT,O,House
I000053,4837,izard,ralph,SC,O,Senate
J000182,4998,johnson,william,CT,O,Senate
J000198,5012,johnston,samuel,NC,O,Senate
L000201,5565,lee,richard,VA,O,Senate
M000031,5891,maclay,william,PA,O,Senate
M000234,6071,mathews,george,GA,O,House
M000985,6712,morris,robert,PA,O,Senate
P000092,7224,partridge,george,MA,O,House
P000102,7231,paterson,william,NJ,O,Senate
S000624,8693,smith,william,MD,O,House
S000961,8983,stone,michael,MD,O,House
V000053,9629,van rensselaer,jeremiah,NY,O,House
W000783,10405,wynkoop,henry,PA,O,House
D000324,2576,dickinson,philemon,NJ,O,Senate
W000059,9747,walker,john,VA,O,Senate
A000307,259,ashe,john,NC,O,House
B000167,456,barnwell,robert,SC,O,House
B001133,1302,burr,aaron,NY,R,Senate
C000009,1384,cabot,george,MA,O,Senate
C000185,1536,carroll,charles,MD,O,Senate
E000147,2936,ellsworth,oliver,CT,O,Senate
G000139,3541,gerry,elbridge,MA,O,House
H000916,4695,huger,daniel,SC,O,House
J000036,4871,jacobs,israel,PA,O,House
K000158,5224,key,philip,MD,O,House
R000091,7762,read,george,DE,O,Senate
R000350,7989,robinson,moses,VT,O,Senate
S000140,8272,schoonmaker,cornelius,NY,O,House
S000242,8363,seney,joshua,MD,O,House
S000340,8449,sheredine,upton,MD,O,House
S000349,8457,sherman,roger,CT,O,Senate
S000412,8511,silvester,peter,NY,O,House
S000832,8869,steele,john,NC,O,House
S000866,8896,sterett,samuel,MD,O,House
S001047,9062,sturges,jonathan,CT,O,House
T000403,9501,tucker,thomas,SC,O,House
